gene,D7_log2FC,D14_log2FC,D7_padj,recovery_ratio
Rrm1,1.23274946839862,0.0200687796557794,0.0161380157271986,0.9837203096247534
Rpl7a,1.22585424848908,0.576979177066684,0.010646634006748,0.5293248134695976
Mta3,1.22094488492873,-0.500085614747717,0.0028416908870562,0.590410983394301
Nudt14,1.21752927767946,0.314287230865226,0.0320050780926883,0.7418647447523897
Clta,1.21467954850786,0.354651427108608,8.52264722344686e-07,0.7080288150530979
Fignl1,1.21366835266363,0.225100807556124,0.0188095367656891,0.814528567823247
Tep1,1.20929852082917,0.322549390330774,0.0170733819898975,0.7332756265098099
Snrpe,1.20543551350123,0.242209812641223,0.0389198672932114,0.7990686271240541
Mad2l1,1.20020042556459,0.393500799440412,0.0004506708907409,0.6721374271673799
Prelid1,1.1999532556048,0.145495485551483,0.0060747398585696,0.878749038871393
Cacul1,1.19995123928647,-0.0842210087540839,5.69281626642471e-05,0.9298129740637091
Rgs1,1.19826382461525,0.484431331108498,0.0422354434175423,0.5957223099311674
Entpd7,1.18804998346223,-0.0906788337881274,0.0333932282356627,0.9236742266315513
Atp6v0d1,1.18562615229602,0.30030706135277,2.43418882173082e-05,0.7467101575220727
Gpatch4,1.18194047672451,0.0157497427666092,0.0212227581024408,0.9866746734909561
Btf3,1.17623545843464,0.210041107549338,0.0085071791317001,0.821429369397803
Dynlt1f,1.17523889236517,-0.223379010422773,0.027359601337987,0.8099288477653914
Ms4a6b,1.16811106261937,0.235726367352251,0.0356699529077818,0.7981986688631656
Psmd8,1.16777193333694,0.232821002275707,1.46985070151184e-05,0.8006280202244502
Laptm4a,1.16643824886852,-0.0462247296757905,7.52724467343105e-06,0.9603710443132074
Slc25a30,1.16378372941805,-0.0042097057745305,0.0435121682338652,0.9963827421984706
Rnaseh2b,1.16128692806169,-0.100128406346901,0.026838243094406,0.9137780647251185
Rps11,1.16005528671102,0.517183949185901,0.0381905726038405,0.5541730164842255
Bccip,1.15922642703482,0.519265179091041,0.0308730546746273,0.5520588842860777
Pgam1,1.15903848669753,0.4224330817002,0.0116248062148374,0.6355314456348672
Cuta,1.15593718017814,0.236416782358469,0.0008101601349994,0.7954760981716713
