gene,D1_fc,D4_fc,D7_fc,D14_fc,D1_padj,D4_padj,D7_padj,D14_padj,peak_timepoint,direction,pattern
Atp6ap1l,-0.466542197245839,-2.66222818406532,-5.51744448416066,-5.0506808605896,0.938129611411634,0.326449980310839,0.0398503697392221,0.0718133474019754,D7,down,other
Bnip2,0.425725243175752,0.840185856454194,1.02111938002074,0.333058342632352,0.307087711906362,0.0115542673545458,0.0019902232048745,0.42784791415419,D7,up,D7_peak_resolve
Gm42508,-0.635380761458102,-1.94182199459351,-2.74688136756557,-6.30585220550628,0.818400904883441,0.25102537744683,0.0798777407652558,0.0007148737193095,D14,down,late_D14
Gm43166,0.821606261530186,-1.49069467223941,-5.30889135746105,2.52080194544393,0.837445610393657,1.0,0.0181931018229411,0.314893260808552,D7,down,other
C920006O11Rik,-0.145253721768775,-1.26266187783455,-0.722789678785794,-2.89753441762563,0.969034336982368,0.353792647090546,0.571085538078569,0.0110674547856765,D14,down,late_D14
F7,7.90099945904593,9.37854648082464,3.43858079758375,3.88481060585051,1.28378167219491e-06,3.01481891414484e-10,0.0055922196199261,0.043523949472103,D4,up,sustained_up
Gm5648,-3.15292484838062,1.61444759444507,-6.67224031196504,0.0,0.490606230397114,1.0,0.0484716511259015,1.0,D7,down,other
Abcc6,-6.42378163955552,-0.725901238525664,-7.12339497966702,-0.956924426680408,0.0003569015357323,0.749053095629195,7.34779651268156e-05,0.620692495508549,D7,down,other
Gm10501,0.77365793021998,-2.67548051310955,-2.90183170597701,-0.553864728116175,0.691709331124026,0.0215450074395068,0.0318090284563398,0.809640936918351,D7,down,other
Drc3,2.36237883495829,-3.40270764829673,-3.3006238937234,1.19654816102882,0.221776537290926,0.0364540656515362,0.0473900568325492,0.612713614356305,D4,down,other
Nhsl2,-2.31000010014677,-2.57393068484188,-1.51074171782534,-1.35959960633803,0.0998219627133695,0.0486830861676728,0.256058721319733,0.378604167278912,D4,down,other
Car5b,1.05241906889187,0.0191276992693752,-0.760876315401807,3.32678876611382,0.612628453752207,0.995360178335006,0.617779239137671,0.0244196978081658,D14,up,late_D14
Gpr19,-1.33981586484565,-1.27761829901164,-0.307101154611574,2.89406416930109,0.187589250928807,0.183816541981294,0.772140667709514,0.0007813266378309,D14,up,late_D14
Pcdhb8,-2.22825332193903,-2.1276563311388,-4.62949917225627,-0.418388494395083,0.325138309135132,1.0,0.0359812812315248,0.918183719463311,D7,down,other
Ica1,-2.07604446795477,-1.40202774375532,-0.80145065102449,0.443244039297992,0.0475131357829686,0.181604579467856,0.435126339834649,0.764667691895584,D1,down,acute_D1
Prkce,-2.34546638557967,-3.75473076760022,-2.25659540370931,-0.478498337962576,1.83134571786785e-05,1.2108474869176299e-13,5.6142256585983e-05,0.535366303920567,D4,down,other
Arf3,-0.640433725991037,-1.64843482023311,-0.374129070261928,-0.77185338007067,0.592096806813736,0.0466880175683733,0.694163825827435,0.444560406474376,D4,down,other
Dhrs1,0.106729604058283,1.40753066684176,0.774174560221788,0.784344485427669,0.92144503461836,0.0006995621323919,0.0885391797388907,0.10174292390047,D4,up,subacute_D4
AW047730,-7.11350190158385,-3.34618314410971,-2.35586886937044,-2.92187622475594,9.97322907444602e-05,0.0209110268883678,0.12241181547747,0.070537514926452,D1,down,acute_D1
Cers1,-6.71874664556288,-2.73782397201068,-1.85291096090551,-8.04735471605957,0.0001567922430274,0.101637229561153,0.264946727003629,8.28031079026938e-07,D14,down,acute_D1
Gm41071,-3.87551462541705,-3.95206816876385,-3.29476009244482,-3.52658966524811,0.0028372648578116,0.0015836411603904,0.0098692674770275,0.0033149057437439,D4,down,other
Dync1li2,0.194776250613696,-1.3274079459129,-0.228223333284808,-0.192979937324053,0.68840830742015,5.32227539503742e-07,0.488740072867927,0.652594924662868,D4,down,other
