gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Flcn,0.089436874,0.15343584,0.7780216,1.2721055039833131e-20,8788,9002,4.257049962216234e-20,True
Spty2d1,0.089643896,0.056572974,-0.6631528,1.2769947888492232e-20,8788,9002,4.2717125879079585e-20,True
Rps9,0.31395328,0.25583747,-0.29521793,1.3571999100253502e-20,8788,9002,4.538204627600664e-20,False
Leo1,0.14003138,0.09622407,-0.5408118,1.3787138309130834e-20,8788,9002,4.608311267171939e-20,True
Farsa,0.19233097,0.13888672,-0.469394,1.3980577152280693e-20,8788,9002,4.671111818194498e-20,False
Dnajc22,0.33084992,0.27909136,-0.24535865,1.453874536298391e-20,8788,9002,4.855675456085098e-20,False
Ift52,0.21335489,0.16328134,-0.38568804,1.4807436090666276e-20,8788,9002,4.943450786935531e-20,False
Eci1,0.18144228,0.13459255,-0.4306355,1.4819559215563808e-20,8788,9002,4.9455355684465814e-20,False
Ckap5,0.43746606,0.37029946,-0.24041888,1.5034055835418545e-20,8788,9002,5.015127349063292e-20,False
Snrpd3,0.19891821,0.1504452,-0.40270382,1.5187291410061972e-20,8788,9002,5.064236331068228e-20,False
Heatr1,0.14963621,0.107663535,-0.4745541,1.526149381024203e-20,8788,9002,5.086963051726077e-20,False
Scrn3,0.2577463,0.2052029,-0.32875732,1.630804150741419e-20,8788,9002,5.43364567136141e-20,False
Yju2,0.10213404,0.06532549,-0.64395094,1.6999843186703685e-20,8788,9002,5.661903433481318e-20,True
Hspa8,0.39051405,0.32705316,-0.25577766,1.7413819084631976e-20,8788,9002,5.797485554373122e-20,False
Gm14403,0.09464181,0.061715845,-0.61602455,1.8491468874194306e-20,8788,9002,6.153826251526767e-20,True
Mcl1,0.30196327,0.25984064,-0.2166686,1.874860358893403e-20,8788,9002,6.236931672348833e-20,False
Ano6,0.19109492,0.3053751,0.67601055,1.9721846204899443e-20,8788,9002,6.558098502838696e-20,True
Nat2,0.17456017,0.13181746,-0.40491512,2.0013971493102274e-20,8788,9002,6.652609331152485e-20,False
Jagn1,0.092022926,0.058645558,-0.6490805,2.0218856854884202e-20,8788,9002,6.718058559247267e-20,True
Ppp2r2d,0.22246458,0.17148711,-0.37528285,2.0795613614176103e-20,8788,9002,6.906967916938948e-20,False
Mast3,0.40552762,0.33676285,-0.2679946,2.0834448928944096e-20,8788,9002,6.91713570794028e-20,False
Pdhx,0.19853103,0.14987163,-0.40540135,2.109830398560861e-20,8788,9002,7.001973626466479e-20,False
Slc43a2,0.09217344,0.171579,0.89572626,2.1150392738841274e-20,8788,9002,7.016492670026484e-20,True
C920021L13Rik,0.12768407,0.09194629,-0.47327656,2.1378358959822804e-20,8788,9002,7.08932337126485e-20,False
Ttc19,0.3592569,0.2987476,-0.2660074,2.153505409016563e-20,8788,9002,7.138471633591941e-20,False
H4c4,0.08973192,0.06027659,-0.57323885,2.1902091402478198e-20,8788,9002,7.256444849379096e-20,True
Gpr137,0.14391816,0.097993575,-0.55402017,2.1908201494618928e-20,8788,9002,7.256444849379096e-20,True
Cerk,0.053981405,0.11529915,1.093428,2.2116573418972855e-20,8788,9002,7.322578991492272e-20,True
Sult1b1,0.09056108,0.05655085,-0.6783856,2.2133804466563828e-20,8788,9002,7.325401139937116e-20,True
Chchd10,0.22627148,0.17973828,-0.33199206,2.2322371310804287e-20,8788,9002,7.384904043955819e-20,False
Pacsin3,0.18891008,0.13798591,-0.45289707,2.3720111559406123e-20,8788,9002,7.844233433541027e-20,False
Metap2,0.41820616,0.35570073,-0.2334898,2.4314842419097637e-20,8788,9002,8.037751248403475e-20,False
Fth1,0.5093642,0.44114825,-0.2073903,2.4424242943298058e-20,8788,9002,8.070744535819582e-20,False
Stat1,0.23332706,0.3422247,0.55239344,2.6214216589167288e-20,8788,9002,8.65882230721101e-20,True
Nedd9,0.1735865,0.2793727,0.6862216,2.63433519877484e-20,8788,9002,8.698062020130585e-20,True
Nipsnap1,0.64006925,0.5555678,-0.20423073,2.6987958288626447e-20,8788,9002,8.907402631707112e-20,False
Proser1,0.25237072,0.20151043,-0.32454565,2.722188774011351e-20,8788,9002,8.981087904218626e-20,False
Abhd3,0.14885254,0.106966846,-0.4763409,2.7252443513865864e-20,8788,9002,8.98764434661519e-20,False
Zfp62,0.22130226,0.17601432,-0.33015767,2.767410227224658e-20,8788,9002,9.12312783763364e-20,False
Rtf1,0.47068924,0.401701,-0.2286002,2.774149718333007e-20,8788,9002,9.141763251208614e-20,False
Zfand5,0.56009763,0.4829798,-0.21367443,2.7813792872593714e-20,8788,9002,9.16199841179056e-20,False
Gm43775,0.16873898,0.12201187,-0.46744454,2.7831523408893785e-20,8788,9002,9.164250741253364e-20,False
Cdcp1,0.13463688,0.092576556,-0.5398685,2.911384455672507e-20,8788,9002,9.582737646937716e-20,True
Rab2a,0.55233043,0.4824953,-0.19497895,2.9919892119063834e-20,8788,9002,9.844194462169888e-20,False
Trim41,0.28069907,0.22848573,-0.29680273,3.0008071526134624e-20,8788,9002,9.869347370968357e-20,False
Adh5,0.2555474,0.20424934,-0.3231177,3.057481386972381e-20,8788,9002,1.0051813563344525e-19,False
Ttc28,0.058824826,0.12266942,1.0590037,3.0969877601614206e-20,8788,9002,1.017771797899923e-19,True
Fam32a,0.121947564,0.085565925,-0.5106501,3.130341782010419e-20,8788,9002,1.0283313319817905e-19,True
Gm17435,0.11912528,0.080786094,-0.55972654,3.177962749781083e-20,8788,9002,1.0435675493328748e-19,True
Ndufb10,0.13091485,0.0913606,-0.51850814,3.251007991788422e-20,8788,9002,1.067137348221459e-19,True
App,0.1861947,0.30076748,0.69154143,3.4371684877844487e-20,8788,9002,1.1278041531876196e-19,True
Cdc34,0.11028616,0.069912724,-0.6568703,3.468825338372149e-20,8788,9002,1.1377476636150054e-19,True
Ppl,0.11264687,0.07306467,-0.6238682,3.475702325075177e-20,8788,9002,1.1395589891214912e-19,True
Prmt7,0.15790576,0.11174307,-0.49850124,3.5915013199767403e-20,8788,9002,1.1770666382923381e-19,False
Ints7,0.22632727,0.17357351,-0.38267,3.594088466504608e-20,8788,9002,1.1774558515850182e-19,False
Mettl17,0.26800734,0.21193111,-0.33853468,3.64979556476493e-20,8788,9002,1.1952405638912946e-19,False
Exosc3,0.096627176,0.060562726,-0.67311096,3.657878931278308e-20,8788,9002,1.1974216127955021e-19,True
Exd1,0.0974712,0.060556218,-0.68579984,3.704066890312976e-20,8788,9002,1.212069807398019e-19,True
Surf6,0.082643874,0.052054077,-0.6658724,4.022542674982156e-20,8788,9002,1.3157718322171414e-19,True
Slco3a1,0.060048897,0.12001089,0.9977567,4.031429725699269e-20,8788,9002,1.3181662760321784e-19,True
Utp18,0.12973714,0.08940304,-0.5366945,4.0422708817729845e-20,8788,9002,1.3211975496641848e-19,True
Zfp612,0.18308869,0.13767532,-0.41101298,4.0796255160160755e-20,8788,9002,1.3328889113104173e-19,False
5930430L01Rik,0.11938504,0.08432095,-0.5011571,4.19320843483594e-20,8788,9002,1.3694667143740205e-19,True
Slc1a2,0.3263052,0.45224485,0.47075903,4.2019171137431006e-20,8788,9002,1.371778373221603e-19,False
Fam114a1,0.22825776,0.17644577,-0.37125355,4.640429169505955e-20,8788,9002,1.5143495191254306e-19,False
Mpdu1,0.20622079,0.15885241,-0.37629429,4.65367768058634e-20,8788,9002,1.5180841538105034e-19,False
Sbno1,0.5403389,0.4669643,-0.21051033,4.852957145876215e-20,8788,9002,1.5824778476068449e-19,False
Acbd3,0.3128627,0.26492527,-0.23986077,4.924561268859518e-20,8788,9002,1.6052047251032593e-19,False
Prdx3,0.134596,0.093586735,-0.52379036,4.957489810721444e-20,8788,9002,1.6153122299612514e-19,True
Jkamp,0.1562451,0.11614547,-0.42755952,4.9831127028347203e-20,8788,9002,1.6230324107219706e-19,False
Phf6,0.17287812,0.12841012,-0.4287076,5.0333814676221596e-20,8788,9002,1.63877083154432e-19,False
Ralgps1,0.24836847,0.19839175,-0.32398376,5.066987665564507e-20,8788,9002,1.649074167520085e-19,False
Cks2,0.18817675,0.142484,-0.40104282,5.2027257690419434e-20,8788,9002,1.692595974282671e-19,False
Hmces,0.1403291,0.098465815,-0.5106825,5.22437484373769e-20,8788,9002,1.6989820471729873e-19,True
Mycbp,0.16627102,0.11971987,-0.47353694,5.347568419838626e-20,8788,9002,1.7383729952126107e-19,False
Apobec3,0.08501701,0.15894222,0.9018904,5.882693126153799e-20,8788,9002,1.9115912425775167e-19,True
